cy_id,Days above 18,Days below 15,Days above 25,Days below -2,Days with $\geq 1$ hour above 18,Days below with max temp below 15,Averaged temperature distance,Averaged temp difference above 18,Averaged temp difference below 15,Hourly temperature variation,Annual average temperature,Daily temperature variation,Monthly temperature variation,Hottest temperature,Coldest temperature,# consecutive days above 20,# consecutive days below 0,cluster,is_centroid,selected
2015_AWCM_SP126,46.0,250.0,0.0,16.0,112.0,199.0,6.121808012557079,7.34165449543379,1.1235591084474887,6.75484085525803,11.125310204337898,6.384780104750573,5.81846782695134,31.6972,-12.68384,10,8,8,False,False
2016_AWCM_SP126,67.0,252.0,0.0,4.0,120.0,211.0,6.17787244063927,7.26323953196347,1.2206622146118722,6.440956418209844,11.273661136156647,6.068223546305008,5.720864703344394,32.90624,-6.31088,5,5,4,False,False
2017_AWCM_SP126,82.0,227.0,12.0,16.0,145.0,184.0,6.731183426940639,6.8352702990867575,2.005513415525114,7.987745365083948,12.27984340410959,7.5543791185528,6.765228127558458,38.04923,-10.50263,15,11,5,False,False
2018_AWCM_SP126,46.0,264.0,0.0,14.0,101.0,189.0,6.186405212328768,7.549889873287671,1.0115581335616437,6.719596678888947,10.83671105479452,6.363113809691745,5.90178120025113,29.88839,-10.03829,8,6,8,False,False
2019_AWCM_SP126,32.0,269.0,0.0,18.0,90.0,221.0,6.5769335468036525,8.24873764155251,0.7933568641552512,6.702116439583048,10.00978018150685,6.407253057596368,6.178753714264965,27.67126,-8.81132,2,12,9,False,False
2020_AWCM_SP126,45.0,246.0,3.0,2.0,114.0,192.0,5.805318478310502,7.015056576484019,1.1406888002283104,6.328248512178925,11.485687375910748,5.961615903115587,5.5861244988847,35.94067,-4.72498,5,2,12,False,False
2021_AWCM_SP126,35.0,247.0,0.0,9.0,125.0,196.0,5.921709308219179,7.254441279680366,1.0143321735159816,6.340398323138152,11.106955038812789,5.954491268025128,5.248718085523767,29.0964,-7.5591,4,7,12,False,False
2022_AWCM_SP126,53.0,265.0,1.0,5.0,92.0,219.0,6.47284990410959,7.815163183789955,1.0522580684931506,6.553230492429239,10.63166623287671,6.216264278917264,5.756832694609019,32.03804,-10.09506,6,10,0,False,False
2023_AWCM_SP126,28.0,257.0,0.0,9.0,92.0,192.0,5.8279835251141545,7.506553694063927,0.7755728710045663,6.137675558825973,10.723162216894975,5.798328946790631,5.3212519601575945,27.3943,-7.28594,4,8,7,False,False
2024_AWCM_SP126,68.0,216.0,5.0,30.0,143.0,177.0,6.992053132420091,7.606053747716896,1.550168359589041,8.091279655648993,11.118916691712204,7.732088063553451,7.35021187608605,35.01372,-11.38471,6,17,5,False,False
2025_AWCM_SP126,82.0,233.0,3.0,10.0,136.0,183.0,6.612370769406392,7.099201423515982,1.678618901826484,7.331298357764227,11.744867034246576,6.915916461269914,6.576522309310714,34.56076,-7.80942,9,13,5,False,False
2026_AWCM_SP126,70.0,232.0,0.0,4.0,126.0,201.0,6.096721018264841,7.023810786529681,1.316723142694064,6.482643580634589,11.536725267123288,6.080476407511378,5.714052920430655,31.08942,-6.77654,13,6,11,False,False
2027_AWCM_SP126,61.0,241.0,3.0,5.0,116.0,201.0,6.730522107305935,7.763706673515981,1.2521083744292238,7.065629711477373,10.773694641552511,6.747673549371598,6.47991806166513,31.88423,-6.79629,8,5,3,False,False
2028_AWCM_SP126,71.0,242.0,3.0,10.0,128.0,185.0,6.758104380136986,7.461333659817352,1.5100962180365296,7.458810413034751,11.27230093010018,7.092932886484169,6.795917788368706,32.594,-7.09292,16,5,2,False,False
2029_AWCM_SP126,63.0,254.0,4.0,8.0,115.0,207.0,6.24193775,7.249510199771689,1.3035998219178082,6.708555637351224,11.365261893835616,6.3265436011115534,5.841670841145845,31.85467,-6.77547,11,6,4,True,True
2030_AWCM_SP126,57.0,259.0,2.0,1.0,104.0,199.0,6.087977152968037,7.298178260273972,1.1335594783105023,6.3975382963438685,11.179141803652968,6.031773334060507,5.6431118674624345,32.88327,-6.04603,4,3,6,False,False
