cy_id,F1,F2,F3
2015_1_1,12.191003592465751,194.0,136.0
2016_1_1,11.259510311643837,183.0,133.0
2017_1_1,11.491118867579912,213.0,100.0
2018_1_1,10.821379968036528,200.0,86.0
2019_1_1,12.306812558219178,204.0,119.0
2020_1_1,11.942645416666666,187.0,124.0
2021_1_1,11.031077135844749,198.0,120.0
2022_1_1,11.329474378995432,192.0,127.0
2023_1_1,12.460708964611872,177.0,128.0
2024_1_1,11.737119257990868,187.0,143.0
2025_1_1,11.97304882648402,187.0,135.0
2026_1_1,12.0597922043379,176.0,125.0
2027_1_1,10.723843102739727,197.0,114.0
2028_1_1,12.468701784246575,178.0,112.0
2029_1_1,11.424272899543379,183.0,137.0
2030_1_1,11.328837168949768,197.0,137.0
2031_1_1,9.70497217694064,201.0,132.0
2032_1_1,12.53180688584475,188.0,135.0
2033_1_1,12.054057956621005,190.0,133.0
2034_1_1,12.1331384086758,204.0,97.0
2035_1_1,11.279817853881278,193.0,109.0
2036_1_1,11.993211083333332,191.0,129.0
2037_1_1,10.656818050228312,190.0,115.0
2038_1_1,10.834953079908676,185.0,110.0
2039_1_1,12.518988227168949,189.0,140.0
2040_1_1,12.119736994292236,196.0,121.0
2041_1_1,12.583547035388127,172.0,150.0
2042_1_1,12.344579907534246,165.0,153.0
2043_1_1,12.21420570890411,178.0,145.0
2044_1_1,11.262996966894976,182.0,112.0
2045_1_1,10.97759199086758,203.0,138.0
2046_1_1,11.410636946347031,210.0,109.0
2047_1_1,11.544922420091323,195.0,135.0
2048_1_1,13.32494635844749,151.0,173.0
2049_1_1,12.477182110730595,173.0,141.0
2050_1_1,13.12290574657534,179.0,143.0
2051_1_1,12.941144270547946,195.0,141.0
2052_1_1,14.07412973173516,159.0,163.0
2053_1_1,11.956641210045662,195.0,123.0
2054_1_1,13.241991807077625,152.0,151.0
2055_1_1,13.23942439269406,187.0,145.0
2056_1_1,11.606250702054794,180.0,124.0
2057_1_1,12.52757649086758,163.0,157.0
2058_1_1,13.079083837899544,179.0,146.0
2059_1_1,11.611174180365296,182.0,142.0
2060_1_1,12.068379619863014,180.0,140.0
2061_1_1,11.91295162785388,193.0,136.0
2062_1_1,11.84243301940639,215.0,124.0
2063_1_1,12.02207651027397,192.0,128.0
2064_1_1,11.678542238584477,172.0,150.0
2065_1_1,13.014124751141551,178.0,140.0
2066_1_1,11.317653963470317,202.0,107.0
2067_1_1,12.289260875570776,177.0,146.0
2068_1_1,11.442849078767123,185.0,119.0
2069_1_1,12.351444503424656,176.0,135.0
2070_1_1,11.506978643835616,182.0,131.0
2071_1_1,12.683803976027397,178.0,136.0
2072_1_1,12.006289557077624,194.0,123.0
2073_1_1,12.100242578767123,198.0,147.0
2074_1_1,12.991236441780822,181.0,133.0
2075_1_1,11.862488380136984,198.0,108.0
2076_1_1,13.580228787671231,161.0,157.0
2077_1_1,12.51959158219178,180.0,124.0
2078_1_1,13.681474674657535,157.0,173.0
2079_1_1,12.93359596347032,186.0,144.0
2080_1_1,11.000683101598172,206.0,118.0
2081_1_1,10.670325761415526,196.0,127.0
2082_1_1,12.979594166666669,189.0,153.0
2083_1_1,11.56125564954338,211.0,116.0
2084_1_1,11.402252424657535,181.0,129.0
2085_1_1,11.92203792808219,179.0,142.0
2086_1_1,14.606731995433792,150.0,172.0
2087_1_1,14.309969099315069,157.0,156.0
2088_1_1,12.501660128995436,169.0,158.0
2089_1_1,12.215154589041097,188.0,139.0
2090_1_1,11.733480243150684,182.0,140.0
2091_1_1,12.57684912214612,189.0,140.0
2092_1_1,12.074118974885844,167.0,156.0
2093_1_1,13.25763177283105,171.0,148.0
2094_1_1,13.718448251141554,169.0,148.0
2095_1_1,12.233758242009133,160.0,141.0
2096_1_1,13.809972555936072,158.0,152.0
2097_1_1,13.266616679223745,174.0,158.0
2098_1_1,12.549137336757992,185.0,126.0
2099_1_1,13.599028550228311,176.0,157.0
